State,Institute,Course,Seats,Fee
Tamil Nadu,"Thaimoogambigai Dental,Chennai",BDS,100,450000
Tamil Nadu,"Thaimoogambigai Dental,Chennai",BDS,23+17(VV),450000
Tamil Nadu,"Thaimoogambigai Dental,Chennai",BDS,6+20(VV),450000
Tamil Nadu,"Thaimoogambigai Dental,Chennai",BDS,1,450000
Madhya Pradesh,"Govt Med Coll, Khandwa",MBBS,1,100000
Madhya Pradesh,"Govt Med Coll, Khandwa",MBBS,0+1(VV),100000
Telangana,"ESIC Med Coll,Sanath Nagar",MBBS,1,100000
Telangana,"ESIC Med Coll,Sanath Nagar",MBBS,0+1(VV),100000
Telangana,"ESIC Med Coll,Sanath Nagar",MBBS,0+1(VV),100000
Assam,Nagaon Medical College,MBBS,1,6400
Jharkhand,"Palamu Medical College, Palamu",MBBS,1,9200
Jharkhand,"Palamu Medical College, Palamu",MBBS,1,9200
Jharkhand,"Palamu Medical College, Palamu",MBBS,0+1(VV),9200
Karnataka,"KIMS, Hubli",MBBS,1,64350
West Bengal,Burdwan Medical College,MBBS,1,9000
West Bengal,Burdwan Medical College,MBBS,1,9000
West Bengal,Burdwan Medical College,MBBS,0+1(VV),9000
Gujarat,"Govt Med College (GMERS), Morbi",MBBS,1,375000
Gujarat,"Govt Med College (GMERS), Morbi",MBBS,1,375000
Gujarat,"Govt Med College (GMERS), Morbi",MBBS,1,375000
Karnataka,"KLE VK Inst of DentSci,Belgaum",BDS,5,1075000
Karnataka,"KLE VK Inst of DentSci,Belgaum",BDS,5,1075000
Karnataka,"KLE VK Inst of DentSci,Belgaum",BDS,5,1075000
Karnataka,"KLE VK Inst of DentSci,Belgaum",BDS,3,1075000
Karnataka,"KLE VK Inst of DentSci,Belgaum",BDS,3,1075000
Rajasthan,"Govt Med Coll, Sawai Madhopur",MBBS,1,96029
Rajasthan,"Govt Med Coll, Sawai Madhopur",MBBS,1,96029
Rajasthan,"Govt Med Coll, Sawai Madhopur",MBBS,0+1(VV),96029
Kerala,"Government Medical Coll, Konni",MBBS,1,23150
Kerala,"Government Medical Coll, Konni",MBBS,1,23150
Delhi,"ESIC Dental Coll, New Delhi",BDS,1,100000
Delhi,"ESIC Dental Coll, New Delhi",BDS,0+1(VV),100000
Delhi,"ESIC Dental Coll, New Delhi",BDS,0+1(VV),100000
Odisha,Government Med Coll Bhawanipatna,MBBS,1,22000
Odisha,Government Med Coll Bhawanipatna,MBBS,1,22000
Odisha,Government Med Coll Bhawanipatna,MBBS,1,22000
Chhattisgarh,"Govt Med Coll, Kanker",MBBS,1,50000
Chhattisgarh,"Govt Med Coll, Kanker",MBBS,0+1(VV),50000
Maharashtra,"MGM Med Coll, Navi Mumbai",MBBS,30,5160000
Maharashtra,"MGM Med Coll, Navi Mumbai",MBBS,3+2(VV),5160000
Maharashtra,"MGM Med Coll, Navi Mumbai",MBBS,0+2(VV),5160000
Kerala,"Amrita SchoolofDentistry,Kochi",BDS,3,516000
Kerala,"Amrita SchoolofDentistry,Kochi",BDS,1+1(VV),516000
Kerala,"Amrita SchoolofDentistry,Kochi",BDS,0+1(VV),516000
Telangana,"ESIC Med Coll,Sanath Nagar",MBBS,1,100000
Telangana,"ESIC Med Coll,Sanath Nagar",MBBS,0+1(VV),100000
Telangana,"ESIC Med Coll,Sanath Nagar",MBBS,0+1(VV),100000
Telangana,"Kakatiya Med Coll, Warangal",MBBS,1,14000
Telangana,"Kakatiya Med Coll, Warangal",MBBS,1,14000
Telangana,"Kakatiya Med Coll, Warangal",MBBS,0+1(VV),14000
Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,1,15000
Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,1,15000
Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,0+1(VV),15000
Rajasthan,"Govt Med Coll, Dungapur",MBBS,1,96029
Rajasthan,"Govt Med Coll, Dungapur",MBBS,1,96029
Rajasthan,"Govt Med Coll, Dungapur",MBBS,1,96029
Rajasthan,"Govt Med Coll, Dungapur",MBBS,1,96029
Telangana,"Government Med Coll, Jagtial",MBBS,1,14000
Telangana,"Government Med Coll, Jagtial",MBBS,1,14000
Tamil Nadu,"Govt Med Coll, Dindigul",MBBS,1,18073
Tamil Nadu,"Govt Med Coll, Dindigul",MBBS,1,18073
Tamil Nadu,"Govt Med Coll, Dindigul",MBBS,1,18073
Odisha,"Govt Med Coll and Hosp, Jajpur",MBBS,1,22000
Odisha,"Govt Med Coll and Hosp, Jajpur",MBBS,1,22000
Odisha,"Govt Med Coll and Hosp, Jajpur",MBBS,1,22000
Odisha,"Govt Med Coll and Hosp, Jajpur",MBBS,1,22000
Delhi,"MAMC, Delhi",MBBS,5,2095
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,1,41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+1(VV),41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+1(VV),41000
Haryana,"AB Vajpay GovtMedColl,Faridabad",MBBS,1,61410
Haryana,"AB Vajpay GovtMedColl,Faridabad",MBBS,0+1(VV),61410
Haryana,"AB Vajpay GovtMedColl,Faridabad",MBBS,1,61410
Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,1,375000
Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,0+1(VV),375000
Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,0+1(VV),375000
Haryana,"Maharishi Chyawan Med Coll,Koriawas",MBBS,1,61410
Haryana,"Maharishi Chyawan Med Coll,Koriawas",MBBS,1,61410
Mizoram,"Zoram Med Coll, Mizoram",MBBS,1,49150
Mizoram,"Zoram Med Coll, Mizoram",MBBS,1,49150
Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,1,15000
Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,1,15000
Pondicherry,"JIPMER, Puducherry",MBBS,1,1200
Pondicherry,"JIPMER, Puducherry",MBBS,1,1200
Maharashtra,"Rural Dental Coll, Loni",BDS,15,1770740
Maharashtra,"Rural Dental Coll, Loni",BDS,15,1770740
Maharashtra,"Rural Dental Coll, Loni",BDS,14,1770740
Maharashtra,"Rural Dental Coll, Loni",BDS,12,1770740
Maharashtra,"Rural Dental Coll, Loni",BDS,6,1770740
Odisha,"Kalinga IMS, Bhubaneswar",MBBS,37,4300000
Odisha,"Kalinga IMS, Bhubaneswar",MBBS,37,4300000
Odisha,"Kalinga IMS, Bhubaneswar",MBBS,36,4300000
Odisha,"Kalinga IMS, Bhubaneswar",MBBS,1,4300000
Tamil Nadu,"Govt Med Coll, Krishnagiri",MBBS,1,18073
Tamil Nadu,"Govt Med Coll, Krishnagiri",MBBS,1,18073
Tamil Nadu,"Govt Med Coll, Krishnagiri",MBBS,0+1(VV),18073
Jammu and Kashmir,"Government Med Coll,Rajouri",MBBS,1,26250
Jammu and Kashmir,"Government Med Coll,Rajouri",MBBS,1,26250
Jammu and Kashmir,"Government Med Coll,Rajouri",MBBS,0+1(VV),26250
Karnataka,"VIMS, Bellary",MBBS,1,64350
Karnataka,"VIMS, Bellary",MBBS,1,64350
Karnataka,"VIMS, Bellary",MBBS,0+1(VV),64350
Telangana,"Government Med Coll, Karimnagar",MBBS,1,14000
Telangana,"Government Med Coll, Karimnagar",MBBS,0+1(VV),14000
Telangana,"Government Med Coll, Karimnagar",MBBS,1,14000
Telangana,"Government Med Coll, Karimnagar",MBBS,1,14000
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,1,1350
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,0+1(VV),1350
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,0+1(VV),1350
Rajasthan,"AIIMS, Jodhpur",MBBS,1,1350
Rajasthan,"AIIMS, Jodhpur",MBBS,1,1350
Telangana,"Government Med Coll, Wanaparthy",MBBS,1,14000
Telangana,"Government Med Coll, Wanaparthy",MBBS,1,14000
Telangana,"Government Med Coll, Wanaparthy",MBBS,0+1(VV),14000
Andhra Pradesh,Govt Med Coll Machilipatnam,MBBS,1,15000
Andhra Pradesh,Govt Med Coll Machilipatnam,MBBS,1,15000
Andhra Pradesh,"Guntur Med Coll, Guntur",MBBS,1,15000
Andhra Pradesh,"Guntur Med Coll, Guntur",MBBS,1,15000
Andhra Pradesh,"Guntur Med Coll, Guntur",MBBS,0+1(VV),15000
Tamil Nadu,"Govt Med Coll, Nilgiris",MBBS,1,18073
Tamil Nadu,"Govt Med Coll, Nilgiris",MBBS,1,18073
Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",MBBS,1,50000
Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",MBBS,1,50000
Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",MBBS,0+1(VV),50000
Tamil Nadu,"Govt Med Coll, Virudhunagar",MBBS,1,18073
Tamil Nadu,"Govt Med Coll, Virudhunagar",MBBS,1,18073
Tamil Nadu,"Govt Med Coll, Virudhunagar",MBBS,0+1(VV),18073
Maharashtra,"DY Patil Dental Coll, Pune",BDS,5,1462000
Maharashtra,"DY Patil Dental Coll, Pune",BDS,5,1462000
Maharashtra,"DY Patil Dental Coll, Pune",BDS,3+1(VV),1462000
Maharashtra,"DY Patil Dental Coll, Pune",BDS,2,1462000
Maharashtra,"DY Patil Dental Coll, Pune",BDS,2,1462000
Haryana,"ESI Med Coll, Faridabad",MBBS,1,24000
Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",MBBS,1,100000
Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",MBBS,1,100000
Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",MBBS,1,100000
Rajasthan,"Jhalawar Med Coll, Jhalawar",MBBS,1,96029
Rajasthan,"Jhalawar Med Coll, Jhalawar",MBBS,1,96029
Maharashtra,"School of DentSci, KIMS, Karad",BDS,5,602000
Maharashtra,"School of DentSci, KIMS, Karad",BDS,4,602000
Haryana,"Pt Neki Ram Sharma GovtMedColl, Bhiwani",MBBS,1,61410
Tamil Nadu,"Govt Med Coll, Dindigul",MBBS,1,18073
Tamil Nadu,"Govt Med Coll, Dindigul",MBBS,1,18073
Maharashtra,Mahatma Gandhi Mission Vashi,MBBS,15,5160000
Maharashtra,Mahatma Gandhi Mission Vashi,MBBS,2+2(VV),5160000
Maharashtra,Mahatma Gandhi Mission Vashi,MBBS,0+2(VV),5160000
Maharashtra,"BV Dental Coll, Sangli",BDS,10,1833090
Maharashtra,"BV Dental Coll, Sangli",BDS,10,1833090
Maharashtra,"BV Dental Coll, Sangli",BDS,9,1833090
Maharashtra,"BV Dental Coll, Sangli",BDS,8,1833090
Maharashtra,"BV Dental Coll, Sangli",BDS,6,1833090
Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,1,375000
Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,0+1(VV),375000
Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,1,375000
Kerala,"Amrita School of Med, Kochi",MBBS,23,4379980
Kerala,"Amrita School of Med, Kochi",MBBS,7+5(VV),4379980
Kerala,"Amrita School of Med, Kochi",MBBS,6+5(VV),4379980
Kerala,"Amrita School of Med, Kochi",MBBS,1,4379980
Gujarat,"SBKS, Vadadora",MBBS,106,2275000
Gujarat,"SBKS, Vadadora",MBBS,20+33(VV),2275000
Gujarat,"SBKS, Vadadora",MBBS,8+27(VV),2275000
Gujarat,"SBKS, Vadadora",MBBS,1,2275000
Odisha,"Govt Med Coll, Balasore",MBBS,1,22000
Odisha,"Govt Med Coll, Balasore",MBBS,0+1(VV),22000
Odisha,"Govt Med Coll, Balasore",MBBS,0+1(VV),22000
Karnataka,Kodagu Inst of Med Sciences,MBBS,1,64350
Karnataka,Kodagu Inst of Med Sciences,MBBS,1,64350
Karnataka,Kodagu Inst of Med Sciences,MBBS,0+1(VV),64350
Haryana,"MMIMS, Mullana, Ambala",MBBS,30,3440000
Haryana,"MMIMS, Mullana, Ambala",MBBS,30,3440000
Haryana,"MMIMS, Mullana, Ambala",MBBS,26,3440000
Haryana,"MMIMS, Mullana, Ambala",MBBS,1,3440000
Maharashtra,"MGM Med Coll, Aurangabad",MBBS,30,5160000
Maharashtra,"MGM Med Coll, Aurangabad",MBBS,10+6(VV),5160000
Maharashtra,"MGM Med Coll, Aurangabad",MBBS,1+6(VV),5160000
Maharashtra,"DY Patil, Pimpri, Pune",MBBS,38,5160000
Maharashtra,"DY Patil, Pimpri, Pune",MBBS,37,5160000
Maharashtra,"DY Patil, Pimpri, Pune",MBBS,31+1(VV),5160000
Maharashtra,"DY Patil, Pimpri, Pune",MBBS,3,5160000
Maharashtra,"DY Patil, Pimpri, Pune",MBBS,1,5160000
Maharashtra,"DYPatil Dent Coll, Navi Mumbai",BDS,2,Info not available
Maharashtra,"DYPatil Dent Coll, Navi Mumbai",BDS,2,Info not available
Maharashtra,"DYPatil Dent Coll, Navi Mumbai",BDS,1,Info not available
Maharashtra,"DYPatil Dent Coll, Navi Mumbai",BDS,1,Info not available
Tamil Nadu,"Saveetha Dental Coll, Chennai",BDS,1,Info not available
Tamil Nadu,"Saveetha Dental Coll, Chennai",BDS,0+1(VV),Info not available
Tamil Nadu,"Saveetha Dental Coll, Chennai",BDS,0+1(VV),Info not available
Odisha,"IMS & SUM, Bhubaneswar",MBBS,38,4300000
Odisha,"IMS & SUM, Bhubaneswar",MBBS,38,4300000
Odisha,"IMS & SUM, Bhubaneswar",MBBS,37,4300000
Tamil Nadu,Govt Villupuram Med Coll,MBBS,1,18073
Tamil Nadu,Govt Villupuram Med Coll,MBBS,1,18073
Tamil Nadu,Govt Villupuram Med Coll,MBBS,1,18073
Uttarakhand,"Graphic Era IMS, Dehradun",MBBS,23,4300000
Uttarakhand,"Graphic Era IMS, Dehradun",MBBS,22,4300000
Uttarakhand,"Graphic Era IMS, Dehradun",MBBS,22,4300000
Uttarakhand,"Graphic Era IMS, Dehradun",MBBS,1,4300000
Telangana,"Govt Med Coll, Nagarkurnool",MBBS,1,14000
Telangana,"Govt Med Coll, Nagarkurnool",MBBS,0+1(VV),14000
Telangana,"Govt Med Coll, Nagarkurnool",MBBS,0+1(VV),14000
Maharashtra,"Symbiosis Med Coll Women, Pune",MBBS,23,3495470
Maharashtra,"Symbiosis Med Coll Women, Pune",MBBS,12+1(VV),3495470
Maharashtra,"Symbiosis Med Coll Women, Pune",MBBS,2,3495470
Uttar Pradesh,"Santosh Med Coll, Ghaziabad",MBBS,23,4300000
Uttar Pradesh,"Santosh Med Coll, Ghaziabad",MBBS,9,4300000
Uttar Pradesh,"Santosh Med Coll, Ghaziabad",MBBS,4,4300000
Telangana,"Government Med Coll, Wanaparthy",MBBS,1,14000
Telangana,"Government Med Coll, Wanaparthy",MBBS,1,14000
Telangana,"Government Med Coll, Wanaparthy",MBBS,0+1(VV),14000
Tamil Nadu,"Madurai Med Coll, Madurai",MBBS,1,18073
Tamil Nadu,"Madurai Med Coll, Madurai",MBBS,1,18073
Tamil Nadu,"Madurai Med Coll, Madurai",MBBS,0+1(VV),18073
Pondicherry,"IGMC & RI, Pondicherry",MBBS,1,73700
Pondicherry,"IGMC & RI, Pondicherry",MBBS,1,73700
Pondicherry,"IGMC & RI, Pondicherry",MBBS,0+1(VV),73700
Telangana,"Government Med Coll, Ramagundam",MBBS,1,14000
Telangana,"Government Med Coll, Ramagundam",MBBS,1,14000
Telangana,"Government Med Coll, Ramagundam",MBBS,0+1(VV),14000
Jammu and Kashmir,"Government Medical Coll,Kathua",MBBS,1,26250
Chhattisgarh,"Government Med Coll, Korba",MBBS,1,50000
Chhattisgarh,"Government Med Coll, Korba",MBBS,0+1(VV),50000
Chhattisgarh,"Government Med Coll, Korba",MBBS,1,50000
Maharashtra,"Govt Med Coll, Akola",MBBS,1,158600
Maharashtra,"Govt Med Coll, Akola",MBBS,1,158600
Maharashtra,"Govt Med Coll, Akola",MBBS,1,158600
Tamil Nadu,Govt Sivagangai Med Coll,MBBS,1,18073
Tamil Nadu,Govt Sivagangai Med Coll,MBBS,0+1(VV),18073
Tamil Nadu,Govt Sivagangai Med Coll,MBBS,0+1(VV),18073
Kerala,"Govt Med Coll, Kottayam",MBBS,1,23150
Kerala,"Govt Med Coll, Kottayam",MBBS,1,23150
Kerala,"Govt Med Coll, Kottayam",MBBS,0+1(VV),23150
Manipur,"Govt Med Coll, Churachandpur",MBBS,1,6000
Manipur,"Govt Med Coll, Churachandpur",MBBS,1,6000
Manipur,"Govt Med Coll, Churachandpur",MBBS,1,6000
Kerala,"Govt Med Coll, Thrissur",MBBS,1,23150
Kerala,"Govt Med Coll, Thrissur",MBBS,1,23150
Tamil Nadu,Govt Thiruvannamalai Med Coll,MBBS,1,18073
Tamil Nadu,Govt Thiruvannamalai Med Coll,MBBS,1,18073
Tamil Nadu,Govt Thiruvannamalai Med Coll,MBBS,1,18073
Maharashtra,"BVDU Dental Coll, Pune",BDS,15,2024440
Maharashtra,"BVDU Dental Coll, Pune",BDS,14,2024440
Maharashtra,"BVDU Dental Coll, Pune",BDS,11,2024440
Maharashtra,"BVDU Dental Coll, Pune",BDS,8,2024440
Maharashtra,"BVDU Dental Coll, Pune",BDS,5,2024440
Andhra Pradesh,"Government Med Coll, Eluru",MBBS,1,15000
Andhra Pradesh,"Government Med Coll, Eluru",MBBS,1,15000
Andhra Pradesh,"Government Med Coll, Eluru",MBBS,0+1(VV),15000
Andhra Pradesh,"Government Med Coll, Eluru",MBBS,1,15000
Tamil Nadu,"Govt Med Coll & ESI,Coimbatore",MBBS,1,18073
Tamil Nadu,"Govt Med Coll & ESI,Coimbatore",MBBS,1,18073
Tamil Nadu,"Govt Med Coll & ESI,Coimbatore",MBBS,1,18073
Tamil Nadu,"Govt Med Coll & ESI,Coimbatore",MBBS,1,18073
Tamil Nadu,Tirunelveli Med Coll,MBBS,1,18073
Tamil Nadu,Tirunelveli Med Coll,MBBS,1,18073
Tamil Nadu,Tirunelveli Med Coll,MBBS,0+1(VV),18073
Tamil Nadu,"Mohan Kumaramangalam, Salem",MBBS,1,18073
Tamil Nadu,"Mohan Kumaramangalam, Salem",MBBS,1,18073
Tamil Nadu,"Mohan Kumaramangalam, Salem",MBBS,0+1(VV),18073
Tamil Nadu,Kanyakumari Med Coll,MBBS,1,18073
Tamil Nadu,Kanyakumari Med Coll,MBBS,1,18073
Tamil Nadu,Kanyakumari Med Coll,MBBS,0+1(VV),18073
Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,5,5160000
Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,5,5160000
Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,5,5160000
Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,1,5160000
Tamil Nadu,"Govt Med Coll, Namakkal",MBBS,1,18073
Tamil Nadu,"Govt Med Coll, Namakkal",MBBS,1,18073
Assam,"Govt Dental College, Silchar",BDS,1,5000
Assam,"Govt Dental College, Silchar",BDS,0+1(VV),5000
Assam,"Govt Dental College, Silchar",BDS,0+1(VV),5000
West Bengal,"College of Med & JNM, Kalyani",MBBS,1,9000
Andhra Pradesh,"Rangaraya Med Coll, Kakinada",MBBS,1,15000
Andhra Pradesh,"Rangaraya Med Coll, Kakinada",MBBS,0+1(VV),15000
Andhra Pradesh,"Rangaraya Med Coll, Kakinada",MBBS,0+1(VV),15000
Telangana,"Osmania Med Coll, Hyderabad",MBBS,1,14000
Telangana,"Osmania Med Coll, Hyderabad",MBBS,1,14000
Telangana,"Osmania Med Coll, Hyderabad",MBBS,0+1(VV),14000
Telangana,"Government Med Coll,Mahabubabad",MBBS,1,14000
Telangana,"Government Med Coll,Mahabubabad",MBBS,0+1(VV),14000
Telangana,"Government Med Coll,Mahabubabad",MBBS,0+1(VV),14000
Karnataka,"Mysore Med Coll, Mysore",MBBS,1,64350
Maharashtra,"MGM Med Coll, Nerul",MBBS,8,5160000
Maharashtra,"MGM Med Coll, Nerul",MBBS,2+6(VV),5160000
Maharashtra,"MGM Med Coll, Nerul",MBBS,0+6(VV),5160000
Karnataka,"Belagavi IMS, Belagavi",MBBS,1,64350
Karnataka,"Belagavi IMS, Belagavi",MBBS,1,64350
Karnataka,"Belagavi IMS, Belagavi",MBBS,0+1(VV),64350
Tamil Nadu,"Govt Med Coll, Thiruvallur",MBBS,1,18073
Tamil Nadu,"Govt Med Coll, Thiruvallur",MBBS,1,18073
Jammu and Kashmir,"Government Medical Coll,Kathua",MBBS,1,26250
Jammu and Kashmir,"Government Medical Coll,Kathua",MBBS,1,26250
Pondicherry,"IGMC & RI, Pondicherry",MBBS,1,73700
Pondicherry,"IGMC & RI, Pondicherry",MBBS,1,73700
Pondicherry,"IGMC & RI, Pondicherry",MBBS,0+1(VV),73700
Tamil Nadu,Govt Thiruvarur Med Coll,MBBS,1,18073
Tamil Nadu,Govt Thiruvarur Med Coll,MBBS,1,18073
Tamil Nadu,Govt Thiruvarur Med Coll,MBBS,0+1(VV),18073
Maharashtra,"BV Dental Coll, Navi Mumbai",BDS,10,2024440
Maharashtra,"BV Dental Coll, Navi Mumbai",BDS,10,2024440
Maharashtra,"BV Dental Coll, Navi Mumbai",BDS,9,2024440
Maharashtra,"BV Dental Coll, Navi Mumbai",BDS,7,2024440
Maharashtra,"BV Dental Coll, Navi Mumbai",BDS,4,2024440
Gujarat,"PDU Med Coll, Rajkot",MBBS,1,25000
